Organization,Investors
Hand Talk,"Kviv Ventures, Joao Kepler Braga, Sergio Papini, Evandro Lobo, Nuno Abreu"
Alicerce,"Canary, Valor Capital Group, Eduardo Mufarej, Paulo Batista, Jair Ribeiro"
EASYCRÉDITO,"Kria, Crescera Investimentos (f/k/a Bozano Investimentos), Start-Up Brasil, Anjos do Brasil, Ventiur Aceleradora"
Mind Lab,"Monashees, Accel, Meritech Capital Partners, MHS Capital, Inter American Development Bank"
Flapper Technologies,"ACE Startups, Confrapar, Paul Malicki, Fabio Cristilli, Arthur Virzin"
Wedy,"Chromo Invest, 42K Investimentos, Claude Ricci, Sergio Salfatis, Marco Poli"
GlobalYeast,"SoFi, PMV, Performa Investimentos, VIB, University of Leuven"
Shoes4you,"Accel, Redpoint, Fabrice Grinda, Flybridge Capital Partners, Romero Rodrigues"
IntooBR,"Wayra, Monashees, Redpoint, Accion Venture Lab, MercandoLivre.com"
Fleety,"Plug and Play, Abril, Servix, Maikon Alves, Vitor Vianna"
Marerua Ltd,"Kees Koolen, Jonathan Coon, Levinthal Capital, Peter Fernandez, Eduardo Steiner"
Movile,"Prosus & Naspers, MIH, Innova Capital Consultoria Ltda (Brazil), Rio Bravo"
Vindi,"Bio Ritmo, Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Rodrigo Dantas"
BizCapital,"Monashees, Quona Capital, Chromo Invest, 42K Investimentos"
Bom Pra Crédito,"Astella Investimentos, SP Ventures, Innova Capital Consultoria Ltda (Brazil), Grupo Globo"
Nibo,"Vostok Emerging Finance, Valor Capital Group, Redpoint eventures, Marcelo Sampaio"
Mimic,"Monashees, Canary, Valor Capital Group, GeNi.vc"
Gupy,"Wayra, Canary, Valor Capital Group, MAYA Capital"
Arquivei,"Monashees, Google Launchpad Accelerator, Valor Capital Group, e.bricks Ventures"
Memed,"Monashees, Qualcomm Ventures, Redpoint eventures, 21212"
Nexoos,"Plug and Play, Loyall Capital Partners, Porto Seguro, UCL Advances Business Support"
Shopper.com.br,"Canary, Ariel Lambrecht, Juscelino Martins, José Galló"
Geekie,"Mitsui & Co, Omidyar Network, Gera Venture Capital, Virtuose"
FOHAT,"Startupbootcamp Energy Australia, SAFIRA ENERGIA, Luiz Henrique Guetter Bohatch, Carlos Pacheco"
GeekHunter Brasil,"Bossa Nova Investimentos, 42K Investimentos, Gávea Angels, Hangar 8"
Moneto,"SP Ventures, Romero Rodrigues, Marcos Arruda, Antonio Fatichi"
Ânimo Wellness,"IndicatorCapital, Wharton Alumni Angels, Sergio Furio, Guilherme Bonifacio"
Veduca,"500 Startups, Bolt Ventures, Digital Education, Nicolas Gautier"
Treevia - Forest Technologies,"Samsung Electronics, Santander Bank, Fundação de Amparo à Pesquisa do Estado de SP, Anjos do Brasil"
Visto.bio,"ACE Startups, Startup Farm, INSEADAlum Ventures, Anjos do Brasil"
Tbit,"Inseed Investimentos, BR Startups, Monsanto Growth Ventures (MGV), MSW Capital"
OneMarket,"Duxx Investimentos, Alexandre Badolato, Cristian Keleti, Luis Vital"
Ventrix,"SP Ventures, Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Triaxis Capital"
Aentropico,"MassChallenge, Start-Up Chile, NXTP Ventures, 21212"
Timokids,"Start-Up Chile, Kria, J. Hunt Holdings, Parallel18"
Doutíssima,"Wayra, Telefonica, Draper Esprit, Breega"
Yuca,"Monashees, Starwood Capital Group, ONEVC"
IOUU,"EqSeed, DOMO Invest, IndicatorCapital"
Hotel Urbano,"Tiger Global Management, Insight Partners, Booking Holdings"
Rocket.Chat,"New Enterprise Associates, Monashees, DGF Investimentos"
SouSmile,"Global Founders Capital, Kaszek Ventures, Canary"
QMC Telecom,"Accel, Peterson Partners, Housatonic Partners"
Elo7,"Monashees, Insight Partners, Accel"
Jusbrasil,"Founders Fund, Monashees, Bertelsmann"
Samba Tech,"DFJ, Fir Capital, José Augusto Schincariol"
EduK,"Felicis Ventures, Monashees, Accel"
Send4,"500 Startups, Pedro Chiamulera, Giovano Fantin"
Nucont,"Cedro Capital, FC Partners, M&A Boutique"
Infinite Foundry,"Techstars, Techstars Smart Mobility, Startup Lisboa"
Concil,"DGF Investimentos, SP Ventures, Prosegur"
LAR.app,"Global Founders Capital, Brian Requarth, Bruno Nardon"
Ambar Technologies,"Endeavor Catalyst, e.bricks Ventures, TPG Alternative & Renewable Technologies"
Mediação Online,"500 Startups, Canary, Redpoint eventures"
Agenda Edu,"Omidyar Network, DOMO Invest, Bossa Nova Investimentos"
Grão Direto,"Canary, Monsanto Growth Ventures (MGV), OpenVC"
Colab.re,"Omidyar Network, Media Development Investment Fund, A5 Capital Partners"
Delfos,"Bossa Nova Investimentos, EDP Ventures, BMG UpTech"
ProRadis,"Wayra, Vox Capital, Performa Investimentos"
Bebe Store,"Endeavor Catalyst, Atomico, W7 Venture Capital"
Joy Street,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Triaxis Capital"
Qranio,"Wayra, Gui Affonso, Samir Iásbeck de Oliveira"
ZoeMob,"Valor Capital Group, e.bricks Ventures, Cassio Spina"
Hometeka,"Performa Investimentos, Polaris Investimentos, Ricardo Normand"
Cupcake Sweet Entertainment,"Start-Up Chile, Playlab, GameFounders"
Bonuz by SumOne,"CVENTURES, Marcelo Sampaio, CRP Entrepreneur"
Rodati,"Quasar Builders, NXTP Ventures, Peter Kellner"
Basico,"initial.vc, Roi Carthy, Guilherme Soarez."
Brasil Ozônio,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Triaxis Capital"
Tagon8,"Erich Progin, Felipe Leite, João Hannud"
Dot Legend,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Triaxis Capital"
Empreguei,"Jose Castro, Gustavo Hansel, Guilherme Barros"
HTP Solution,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Triaxis Capital"
BUG Agentes Biológicos,"SP Ventures, Inseed Investimentos, Criatec Fund"
Kzas.AI,"Redpoint eventures, Roberto Nascimento"
Omiexperience,"Riverwood Capital, Astella Investimentos"
Hash,"Kaszek Ventures, Canary"
Cora,"Ribbit Capital, Kaszek Ventures"
Intelipost,"Project A Ventures, Performa Investimentos"
Exact Sales,"Astella Investimentos, CVENTURES"
Avante,"Vox Capital, Gentera"
Nanox,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Fazenda Futuro,"Monashees, GO4IT"
Theia,"Kaszek Ventures, MAYA Capital"
Aegro,"SP Ventures, WOW Aceleradora"
LinkApi,"Wayra Mexico, Cassis Capital"
Hive,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Exten,"responsAbility, Quona Capital"
Pago Rural,"NXTP Ventures, Wensceslao Casares"
Runrun,"500 Startups, Monashees"
ARVORE,"IndicatorCapital, Eclipseon Ventures"
NOALVO,"ACE Startups, Criatec 2"
Resolvvi,"DOMO Invest, WOW Aceleradora"
TEVEC,"IndicatorCapital, Gávea Angels"
Worldpackers,"IndicatorCapital, Barn Investments"
Hi Technologies,"Monashees, Qualcomm Ventures"
TerraMagna,"Canary, The Yield Lab"
Voopter,"Global Founders Capital, Travel Capitalist Ventures (USA, S Africa, Mideast, India)"
PhoneTrack,"hi.capital, Bzplan"
Casafy,"Kinled Holding, Telor International"
BossaBox,"Redpoint eventures, Diego Gomes"
Dom Rock,"EDP Ventures, Inseed Investimentos"
Pink Farms,"SP Ventures, Capital Lab Ventures"
Liuv,"Visa, 55 VENTURES"
Siteware,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Wevo,"CVENTURES, Cileneu jose peres nunes"
Justto,"ACE Startups, Inseed Investimentos"
Raizs,"WeWork Creator Fund, Pedro Navio"
Decision6,"Inseed Investimentos, Harvard Angels"
Epitrack,"Crescera Investimentos (f/k/a Bozano Investimentos), Chivas Venture"
Fractal Engenharia,"EDP Ventures, Inseed Investimentos"
Carenet Longevity,"Wayra, Inseed Investimentos"
ALavadeira,"CVENTURES, CRP Companhia de Participações"
EZ Commerce,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Neoprospecta,"CVENTURES, IDEE"
Joincube,"Wayra, Start-Up Chile"
Compass,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
PackID,"ACE Startups, Gvangels"
Cinnecta,"Wayra, Inseed Investimentos"
Yller,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
ToLife,"Endeavor Catalyst, Vox Capital"
Superplayer & Co,"Movile, 21212"
Confiance Medical S/A,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
SpumeNews,"Wayra, Crescera Investimentos (f/k/a Bozano Investimentos)"
Seekr,"CVENTURES, UCI Applied Innovation"
eStoks,"Performa Investimentos, Gvangels"
DeviceLab,"Inseed Investimentos, Acelera Partners"
Portal Profes,"ACE Startups, Leonardo Teixeira"
Visent,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Imeve,"SP Ventures, Inseed Investimentos"
Cliever,"Crescera Investimentos (f/k/a Bozano Investimentos), Triaxis Capital"
In Forma Software,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
Vuxx,"Ariel Lambrecht, Kai Schoppen"
Asolum,"SP Ventures, Capital Lab Ventures"
Pretti.com,"Six Ventures Inc., Steve Apostolopoulos"
Startupi,"Redpoint eventures, Cassio Spina"
PluriCell Biotech - Pesquisa e Desenvolvimento LTDA/ME,"Kria, Libbs Farmacêutica"
Buzzero,"Monashees, Denis Engel"
HCO,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2"
ProCompra,"Project A Ventures, Costa Family Office"
emotion.me,"Wayra, Rigi Ventures"
Atacatto Fashion Marketplace,"Rene Abe, Denis Lopes"
OndaLocal,"Polaris Investimentos, Rigi Ventures"
Magnamed,"SP Ventures, Inseed Investimentos"
BR3 Agrobiotecnologia,"SP Ventures, Criatec Fund"
Geru,Chromo Invest
Gama Academy,SmartMoney Ventures
Quicko,J2L Partners
Noverde,DOMO Invest
OTAWA Health,Ricardo Gonçalves
Stilingue,DGF Investimentos
